"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"79","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-28 02:54:41,FALSE,NA,"1089718378032480256",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Salman_Preeti",28,TRUE,FALSE,NA,NA
"80","RT @mystery0725: Prabhudheva: “I have 5 different projects in Tamil as an actor which are in  various stages of completion. And, I’ve to fi…",FALSE,0,NA,2019-01-28 00:39:08,FALSE,NA,"1089684265879650310",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Baheshta_S",17,TRUE,FALSE,NA,NA
"81","RT @mystery0725: Prabhudheva: “I have 5 different projects in Tamil as an actor which are in  various stages of completion. And, I’ve to fi…",FALSE,0,NA,2019-01-27 20:28:14,FALSE,NA,"1089621122910507008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GuruAhmedShoaib",17,TRUE,FALSE,NA,NA
"82","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-27 20:18:57,FALSE,NA,"1089618785710100480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bthapakc",28,TRUE,FALSE,NA,NA
"83","RT @Iftykhan15: “I am working hard to ensure Dabangg 3 turns out as effective as the previous Dabangg films. Salman Khan and Arbaaz Khan ha…",FALSE,0,NA,2019-01-27 20:16:33,FALSE,NA,"1089618180908167168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bthapakc",8,TRUE,FALSE,NA,NA
"84","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-27 20:08:23,FALSE,NA,"1089616126781386752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AhirimSensin06",28,TRUE,FALSE,NA,NA
"85","RT @mystery0725: Prabhudheva: “I have 5 different projects in Tamil as an actor which are in  various stages of completion. And, I’ve to fi…",FALSE,0,NA,2019-01-27 20:07:24,FALSE,NA,"1089615881154543621",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AhirimSensin06",17,TRUE,FALSE,NA,NA
"86","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-27 20:06:47,FALSE,NA,"1089615724551815168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Usmansh58805742",28,TRUE,FALSE,NA,NA
"87","RT @Iftykhan15: “I am working hard to ensure Dabangg 3 turns out as effective as the previous Dabangg films. Salman Khan and Arbaaz Khan ha…",FALSE,0,NA,2019-01-27 19:39:16,FALSE,NA,"1089608799600689153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","antonette_souza",8,TRUE,FALSE,NA,NA
"88","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-27 19:36:29,FALSE,NA,"1089608099948679168",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BharatAK1",28,TRUE,FALSE,NA,NA
"89","RT @mystery0725: Prabhudheva: “I have 5 different projects in Tamil as an actor which are in  various stages of completion. And, I’ve to fi…",FALSE,0,NA,2019-01-27 19:32:02,FALSE,NA,"1089606977658019840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zaroonmalik6",17,TRUE,FALSE,NA,NA
"90","RT @mystery0725: Prabhudheva: “I have 5 different projects in Tamil as an actor which are in  various stages of completion. And, I’ve to fi…",FALSE,0,NA,2019-01-27 19:31:29,FALSE,NA,"1089606839950606336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beingdev_1",17,TRUE,FALSE,NA,NA
"91","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-27 19:31:28,FALSE,NA,"1089606836792315904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zaroonmalik6",28,TRUE,FALSE,NA,NA
"92","Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,61,NA,2019-01-27 19:28:30,FALSE,NA,"1089606088809418753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mystery0725",28,FALSE,FALSE,NA,NA
"93","RT @mystery0725: Prabhudheva: “I have 5 different projects in Tamil as an actor which are in  various stages of completion. And, I’ve to fi…",FALSE,0,NA,2019-01-27 19:27:51,FALSE,NA,"1089605926032674816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeingPrashant96",17,TRUE,FALSE,NA,NA
"94","Prabhudheva on being conferred with #PadmaShri: I feel extremely honoured 

~Movies News https://t.co/N63oIzX5or",FALSE,10,NA,2019-01-27 19:23:07,FALSE,NA,"1089604736310018049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","connectajitcpr",6,FALSE,FALSE,NA,NA
"95","Prabhudheva: “I have 5 different projects in Tamil as an actor which are in  various stages of completion. And, I’v… https://t.co/ES8G7UL8xK",FALSE,55,NA,2019-01-27 19:22:24,TRUE,NA,"1089604554663055362",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mystery0725",17,FALSE,FALSE,NA,NA
"96","RT @Iftykhan15: “I am working hard to ensure Dabangg 3 turns out as effective as the previous Dabangg films. Salman Khan and Arbaaz Khan ha…",FALSE,0,NA,2019-01-27 19:21:33,FALSE,NA,"1089604343257395200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","neelikhan",8,TRUE,FALSE,NA,NA
"97","“I am working hard to ensure Dabangg 3 turns out as effective as the previous Dabangg films. Salman Khan and Arbaaz… https://t.co/tHgcFSDvDa",FALSE,19,NA,2019-01-27 19:20:30,TRUE,NA,"1089604077963616262",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Iftykhan15",8,FALSE,FALSE,NA,NA
"98","Prabhudheva on being conferred with Padma Shri: I feel extremely honoured https://t.co/UHsVy64mwS",FALSE,0,NA,2019-01-27 17:12:28,FALSE,NA,"1089571856242352128",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","singhrakeshq",0,FALSE,FALSE,NA,NA
"99","RT @Iftykhan15: #Dabangg3 to be directed by #PrabhuDheva with #SalmanKhan and #SonakshiSinha in leads! <f0><U+009F><U+0094><U+00A5><f0><U+009F><U+0094><U+00A5><f0><U+009F><U+0094><U+00A5>
#LookGoodDoGood https://t.co/iLS…",FALSE,0,NA,2019-01-27 14:14:07,FALSE,NA,"1089526971631976452",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mansoorisalman4",9,TRUE,FALSE,NA,NA
"100","RT @Iftykhan15: #Dabangg3 to be directed by #PrabhuDheva with #SalmanKhan and #SonakshiSinha in leads! <f0><U+009F><U+0094><U+00A5><f0><U+009F><U+0094><U+00A5><f0><U+009F><U+0094><U+00A5>
#LookGoodDoGood https://t.co/iLS…",FALSE,0,NA,2019-01-27 13:53:23,FALSE,NA,"1089521754261745664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neelikhan",9,TRUE,FALSE,NA,NA
